WKT,name,description
"POINT (144.7821424 -37.6967577)",Evie Charging Station,
"POINT (144.8855159 -37.71359169999999)",Chargefox Charging Station,
"POINT (144.8082068 -37.72642210000001)",Evie Charging Station,
"POINT (144.8088586 -37.8467166)",AmpCharge Charging Station,
"POINT (144.7557507 -37.69394399999999)",AmpCharge Charging Station,
"POINT (144.9222684 -37.676813)",Evie Charging Station,
"POINT (144.7524339 -37.80445)",AmpCharge Charging Station,
"POINT (144.892805 -37.7366996)",Evie Charging Station,
"POINT (144.9618942 -37.7737797)",Chargefox Charging Station,
"POINT (144.7411191 -37.7554985)",Evie Charging Station,
"POINT (144.8855159 -37.71359169999999)",Chargefox Charging Station,
"POINT (144.8082068 -37.72642210000001)",Evie Charging Station,
"POINT (144.8314755 -37.8634008)",Chargefox Charging Station,
"POINT (144.9697091 -37.7407488)",Chargefox Charging Station,
"POINT (144.9222684 -37.676813)",Evie Charging Station,
"POINT (144.8088586 -37.8467166)",AmpCharge Charging Station,
"POINT (144.7524339 -37.80445)",AmpCharge Charging Station,
"POINT (144.996017 -37.838201)",Tesla Supercharger,
"POINT (144.9957066 -37.8321091)",Tesla Supercharger,
"POINT (145.0100908 -37.8128515)",Chargefox Charging Station,
"POINT (144.9932696 -37.8044708)",Evie Charging Station,
"POINT (144.9235937 -37.76578109999999)",Chargefox Charging Station,
"POINT (144.9618942 -37.7737797)",Chargefox Charging Station,
"POINT (145.0326375 -37.77948889999999)",Evie Charging Station,
"POINT (144.9697091 -37.7407488)",Chargefox Charging Station,
"POINT (144.892805 -37.7366996)",Evie Charging Station,
"POINT (144.8855159 -37.71359169999999)",Chargefox Charging Station,
"POINT (144.7628328 -37.8251201)",Exploren Charging Station,
"POINT (144.8314755 -37.8634008)",Chargefox Charging Station,
"POINT (144.7692104 -37.86541609999999)",Chargefox Charging Station,
"POINT (144.919451 -37.8320728)",Electric Vehicle Charging Station,
"POINT (144.9258215 -37.827992)",EVERTY Charging Station,
"POINT (144.9463974 -37.8143964)",Exploren Charging Station,
"POINT (144.9618942 -37.7737797)",Chargefox Charging Station,
"POINT (144.9152875 -37.7726351)",Evie Charging Station,
"POINT (144.9351501 -37.8290241)",JET Charge,
"POINT (144.970022 -37.8357708)",Exploren Charging Station,
"POINT (144.9640762 -37.8062739)",Chargefox Charging Station,
"POINT (145.0437723 -37.8760179)",Chargefox Charging Station,
"POINT (145.0267439 -37.86317680000001)",Evie Charging Station,
"POINT (145.0423002 -37.8453543)",Tesla Supercharger,
"POINT (145.0516181 -37.8266164)",AmpCharge Charging Station,
"POINT (144.99568 -37.80941)",Tesla Supercharger,
"POINT (144.9943204 -37.6480322)",Evie Charging Station,
"POINT (145.0111615 -37.907137)",Tesla Supercharger,
"POINT (145.0860928 -37.9103076)",Evie Charging Station,
