,Landmark Name,Latitude,Longitude,Number of EV charger station,Charger Info
0,Port of Melbourne,-37.8137384362671,144.91753432375,0,N/a
1,Carlton Football Club,-37.7840864379557,144.961967841559,0,N/a
2,Carlton Gardens North,-37.8017690847403,144.971997551189,6,"[{'name': 'Melbourne Museum', 'distance': 321.8931018754176, 'location': (-37.804609, 144.972702)}, {'name': 'Lygon Street Car park', 'distance': 434.34580716374103, 'location': (-37.802158, 144.96708)}, {'name': 'Lonsdale St', 'distance': 943.992276224778, 'location': (-37.81005952, 144.9696999)}, {'name': 'Carlton', 'distance': 427.049029956617, 'location': (-37.80216073, 144.9671638)}, {'name': 'Lonsdale St', 'distance': 944.5252085434703, 'location': (-37.81017999, 144.9705189)}, {'name': 'Carlton', 'distance': 160.72951743786092, 'location': (-37.80320151, 144.9717566)}]"
3,Kings Domain,-37.8255239795833,144.974107925144,9,"[{'name': 'Secure Parking', 'distance': 853.1640785465462, 'location': (-37.832108, 144.969126)}, {'name': 'Holiday Inn Express Melbourne Southbank', 'distance': 769.4585010632006, 'location': (-37.821895, 144.966652)}, {'name': 'South Melbourne', 'distance': 837.4555654925182, 'location': (-37.83189437, 144.9690271)}, {'name': 'Wilson Parking Eureka', 'distance': 890.626998124568, 'location': (-37.821726, 144.965184)}, {'name': 'Southbank', 'distance': 761.2173065299341, 'location': (-37.82123242, 144.9673592)}, {'name': 'Southbank', 'distance': 865.7539168458924, 'location': (-37.82076345, 144.9663122)}, {'name': 'Southbank', 'distance': 957.2624189984558, 'location': (-37.82082443, 144.9649806)}, {'name': 'Federation Square Car Park', 'distance': 900.816856344059, 'location': (-37.817739, 144.971282)}, {'name': 'The Arts Centre', 'distance': 646.1928249069415, 'location': (-37.822715, 144.96767)}]"
4,Flemington Racecourse,-37.7908082646624,144.912142987372,0,N/a
5,Treasury Gardens,-37.8143993575938,144.975952335785,18,"[{'name': 'Park Hyatt Melbourne', 'distance': 274.7517985319971, 'location': (-37.811933, 144.976125)}, {'name': 'Wilson Parking', 'distance': 793.4782318908672, 'location': (-37.811294, 144.967823)}, {'name': 'Collins St', 'distance': 518.6686900428797, 'location': (-37.81496609, 144.9700935)}, {'name': 'Lonsdale St', 'distance': 731.3612794595389, 'location': (-37.81005952, 144.9696999)}, {'name': 'Russell St', 'distance': 780.2929288396775, 'location': (-37.81180407, 144.9677026)}, {'name': 'Russell St', 'distance': 793.6033473343292, 'location': (-37.81129305, 144.967822)}, {'name': 'Flinders St', 'distance': 484.4122005697336, 'location': (-37.81621089, 144.9709391)}, {'name': 'Secure Parking (Southern Cross)', 'distance': 604.0788889666856, 'location': (-37.812452, 144.969535)}, {'name': 'Pullman Melbourne on the Park', 'distance': 663.4667476981657, 'location': (-37.815994, 144.983228)}, {'name': 'Parliament PI', 'distance': 371.79651477872807, 'location': (-37.8110789, 144.9764385)}, {'name': 'ACDC Garage', 'distance': 496.80479146864394, 'location': (-37.816185, 144.97077)}, {'name': 'Pullman Melbourne', 'distance': 659.2828368748941, 'location': (-37.81581134, 144.9832392)}, {'name': 'Lonsdale St', 'distance': 919.7735114989407, 'location': (-37.81067877, 144.9666047)}, {'name': 'Bourke St', 'distance': 509.9686601317767, 'location': (-37.81211268, 144.9709222)}, {'name': 'Lonsdale St', 'distance': 669.4980915644859, 'location': (-37.81017999, 144.9705189)}, {'name': 'Grand Hyatt Melbourne', 'distance': 552.9359420082266, 'location': (-37.814844, 144.969685)}, {'name': 'Federation Square Car Park', 'distance': 553.5349085280759, 'location': (-37.817739, 144.971282)}, {'name': 'QV Melbourne - Car Park', 'distance': 920.0523789037229, 'location': (-37.810679, 144.966601)}]"
6,Melbourne Magistrates Court,-37.8136147671606,144.956846193891,35,"[{'name': 'Lonsdale St', 'distance': 82.55759965806952, 'location': (-37.81343708, 144.955934)}, {'name': 'Bourke St', 'distance': 134.1706852833806, 'location': (-37.81477906, 144.956447)}, {'name': 'Secure Parking (450 Flinders Lane)', 'distance': 598.9787526916099, 'location': (-37.818758, 144.958866)}, {'name': 'Hyatt Centric Melbourne', 'distance': 761.0499481387598, 'location': (-37.820407, 144.955802)}, {'name': 'Wilson Parking', 'distance': 998.5198393470248, 'location': (-37.811294, 144.967823)}, {'name': 'Alto Hotel', 'distance': 351.98952409873266, 'location': (-37.816254, 144.954636)}, {'name': 'Queen Victoria Market - Underground Carpark', 'distance': 658.5309020314796, 'location': (-37.807804, 144.958282)}, {'name': 'Queen St', 'distance': 654.5994611773252, 'location': (-37.80782358, 144.9581717)}, {'name': 'Holiday Inn Express Melbourne Little Collins', 'distance': 490.71845530503765, 'location': (-37.817852, 144.955291)}, {'name': '300 Latrobe Street - Wilson Car Park', 'distance': 521.2412291489937, 'location': (-37.810021, 144.960653)}, {'name': 'Lonsdale St', 'distance': 625.7613173686378, 'location': (-37.81137439, 144.9633783)}, {'name': 'Lonsdale St', 'distance': 134.1941284565613, 'location': (-37.8130787, 144.9582143)}, {'name': 'Flinders Ln', 'distance': 578.0616816588914, 'location': (-37.81861176, 144.9586537)}, {'name': 'Rialto Car Park', 'distance': 613.8307438384584, 'location': (-37.8191, 144.957613)}, {'name': 'Russell St', 'distance': 975.0204721586696, 'location': (-37.81180407, 144.9677026)}, {'name': 'Russell St', 'distance': 998.4622838808065, 'location': (-37.81129305, 144.967822)}, {'name': 'Latrobe Street', 'distance': 313.16931097476663, 'location': (-37.81241851, 144.95362)}, {'name': 'West Melbourne', 'distance': 644.6681841185319, 'location': (-37.81010363, 144.9510094)}, {'name': 'Wilson Parking', 'distance': 134.2876548885349, 'location': (-37.814781, 144.956451)}, {'name': 'Secure Parking - 460 Lonsdale Street Car Park', 'distance': 146.1253209649348, 'location': (-37.813049, 144.958347)}, {'name': 'Downie St', 'distance': 741.40438965787, 'location': (-37.82020302, 144.9555652)}, {'name': 'Southbank', 'distance': 308.7232652728637, 'location': (-37.81609341, 144.9584272)}, {'name': 'Bourke St', 'distance': 357.96639675953554, 'location': (-37.81638627, 144.9547755)}, {'name': 'Melbourne Central Carpark', 'distance': 622.481855543614, 'location': (-37.811734, 144.963518)}, {'name': 'Flagstaff City Inn', 'distance': 641.1366435076022, 'location': (-37.810116, 144.951048)}, {'name': 'Lonsdale St', 'distance': 917.6017647546224, 'location': (-37.81067877, 144.9666047)}, {'name': 'Secure Parking (300 Flinders St)', 'distance': 815.624016087022, 'location': (-37.818268, 144.96402)}, {'name': 'Collins St', 'distance': 487.42125423448385, 'location': (-37.81780946, 144.9552413)}, {'name': 'Queens & Collins', 'distance': 483.34031848189557, 'location': (-37.81594, 144.961493)}, {'name': 'Flagstaff Car Park', 'distance': 110.98268405628427, 'location': (-37.813111, 144.955756)}, {'name': 'Flinders Ln', 'distance': 593.5126399952383, 'location': (-37.81890714, 144.9577073)}, {'name': 'Bourke St', 'distance': 338.53349252014266, 'location': (-37.81581182, 144.9595123)}, {'name': 'Cellarbrations', 'distance': 814.5662790155602, 'location': (-37.809802, 144.948932)}, {'name': 'Flinders St', 'distance': 798.5248577700261, 'location': (-37.8180318, 144.9640101)}, {'name': 'QV Melbourne - Car Park', 'distance': 917.2888161512398, 'location': (-37.810679, 144.966601)}]"
7,Flagstaff Railway Station,-37.8116384403974,144.9561186805,31,"[{'name': 'Lonsdale St', 'distance': 200.71951665947643, 'location': (-37.81343708, 144.955934)}, {'name': 'Bourke St', 'distance': 350.51991780834874, 'location': (-37.81477906, 144.956447)}, {'name': 'Secure Parking (450 Flinders Lane)', 'distance': 827.8862574901242, 'location': (-37.818758, 144.958866)}, {'name': 'Hyatt Centric Melbourne', 'distance': 975.7222969968153, 'location': (-37.820407, 144.955802)}, {'name': 'Alto Hotel', 'distance': 529.6618846135185, 'location': (-37.816254, 144.954636)}, {'name': 'Queen Victoria Market - Underground Carpark', 'distance': 466.95428520649904, 'location': (-37.807804, 144.958282)}, {'name': 'Queen St', 'distance': 461.08772303335616, 'location': (-37.80782358, 144.9581717)}, {'name': 'Holiday Inn Express Melbourne Little Collins', 'distance': 694.9493890893342, 'location': (-37.817852, 144.955291)}, {'name': '300 Latrobe Street - Wilson Car Park', 'distance': 437.19005208590966, 'location': (-37.810021, 144.960653)}, {'name': 'Lonsdale St', 'distance': 638.6156518156682, 'location': (-37.81137439, 144.9633783)}, {'name': 'Lonsdale St', 'distance': 244.08085105484705, 'location': (-37.8130787, 144.9582143)}, {'name': 'Flinders Ln', 'distance': 806.9936035490807, 'location': (-37.81861176, 144.9586537)}, {'name': 'Rialto Car Park', 'distance': 840.2708874430157, 'location': (-37.8191, 144.957613)}, {'name': 'Latrobe Street', 'distance': 236.09241120095845, 'location': (-37.81241851, 144.95362)}, {'name': 'West Melbourne', 'distance': 480.343072971246, 'location': (-37.81010363, 144.9510094)}, {'name': 'Wilson Parking', 'distance': 350.76405960628693, 'location': (-37.814781, 144.956451)}, {'name': 'Secure Parking - 460 Lonsdale Street Car Park', 'distance': 250.91560609309005, 'location': (-37.813049, 144.958347)}, {'name': 'Downie St', 'distance': 953.877397269973, 'location': (-37.82020302, 144.9555652)}, {'name': 'Southbank', 'distance': 535.4397008619338, 'location': (-37.81609341, 144.9584272)}, {'name': 'Bourke St', 'distance': 541.1289706322267, 'location': (-37.81638627, 144.9547755)}, {'name': 'Melbourne Central Carpark', 'distance': 650.3013583183964, 'location': (-37.811734, 144.963518)}, {'name': 'Flagstaff City Inn', 'distance': 476.6834858028404, 'location': (-37.810116, 144.951048)}, {'name': 'Lonsdale St', 'distance': 927.6266320150776, 'location': (-37.81067877, 144.9666047)}, {'name': 'Collins St', 'distance': 690.7176501174434, 'location': (-37.81780946, 144.9552413)}, {'name': 'Queens & Collins', 'distance': 672.2721393887947, 'location': (-37.81594, 144.961493)}, {'name': 'Flagstaff Car Park', 'distance': 166.86435540778135, 'location': (-37.813111, 144.955756)}, {'name': 'Flinders Ln', 'distance': 820.4586425723797, 'location': (-37.81890714, 144.9577073)}, {'name': 'Bourke St', 'distance': 551.7357319211474, 'location': (-37.81581182, 144.9595123)}, {'name': 'Cellarbrations', 'distance': 663.750044752174, 'location': (-37.809802, 144.948932)}, {'name': 'Flinders St', 'distance': 993.2531296660097, 'location': (-37.8180318, 144.9640101)}, {'name': 'QV Melbourne - Car Park', 'distance': 927.3007071840044, 'location': (-37.810679, 144.966601)}]"
8,Melbourne Cricket Ground (MCG),-37.8194921618419,144.983402879078,2,"[{'name': 'Pullman Melbourne on the Park', 'distance': 389.4032592257015, 'location': (-37.815994, 144.983228)}, {'name': 'Pullman Melbourne', 'distance': 409.6697313079984, 'location': (-37.81581134, 144.9832392)}]"
9,Queen Victoria Gardens,-37.8216381244891,144.971049530478,13,"[{'name': 'Collins St', 'distance': 746.8684429991729, 'location': (-37.81496609, 144.9700935)}, {'name': 'Holiday Inn Express Melbourne Southbank', 'distance': 387.4347987572049, 'location': (-37.821895, 144.966652)}, {'name': 'Wilson Parking Eureka', 'distance': 515.4558186436722, 'location': (-37.821726, 144.965184)}, {'name': 'Southbank', 'distance': 327.3697660572761, 'location': (-37.82123242, 144.9673592)}, {'name': 'Flinders St', 'distance': 603.7483637657768, 'location': (-37.81621089, 144.9709391)}, {'name': 'Southbank', 'distance': 427.4576813659028, 'location': (-37.82076345, 144.9663122)}, {'name': 'Southbank', 'distance': 540.864133359782, 'location': (-37.82082443, 144.9649806)}, {'name': 'ACDC Garage', 'distance': 607.0472099537175, 'location': (-37.816185, 144.97077)}, {'name': 'Secure Parking (300 Flinders St)', 'distance': 722.5029465592196, 'location': (-37.818268, 144.96402)}, {'name': 'Grand Hyatt Melbourne', 'distance': 765.1614005828641, 'location': (-37.814844, 144.969685)}, {'name': 'Federation Square Car Park', 'distance': 434.1797048251043, 'location': (-37.817739, 144.971282)}, {'name': 'The Arts Centre', 'distance': 320.18282829292565, 'location': (-37.822715, 144.96767)}, {'name': 'Flinders St', 'distance': 737.2070261339513, 'location': (-37.8180318, 144.9640101)}]"
