type,id,properties.@id,properties.amenity,properties.area,properties.brand,properties.brand:wikidata,properties.description,properties.opening_hours,properties.short_name,properties.socket:tesla_supercharger,properties.website,geometry.type,geometry.coordinates,properties.capacity,properties.name,properties.operator,properties.operator:wikidata,properties.access,properties.fee,properties.bicycle,properties.motor_vehicle,properties.socket:type2,properties.socket:type2:output,properties.source,properties.addr:housenumber,properties.addr:street,properties.addr:suburb,properties.socket:type1_combo:output,properties.brand:wikipedia,properties.operator:wikipedia,properties.socket:type1,properties.socket:tesla,properties.socket:tesla_supercharger:output,properties.socket:tesla_supercharger_ccs,properties.socket:tesla_supercharger_ccs:output,properties.addr:city,properties.addr:country,properties.addr:postcode,properties.addr:state,properties.location,properties.addr:unit,properties.authentication:app,properties.authentication:nfc,properties.socket:chademo,properties.socket:chademo:output,properties.socket:type2_combo,properties.socket:type2_combo:output,properties.motorcar,properties.note,properties.parking:fee,properties.ref:ocm,properties.socket:type1:output,properties.scooter,properties.access:note,properties.alt_name,properties.authentication:none,properties.output,properties.charging_station:output,properties.charge,properties.network,properties.temporary:access,properties.covered,properties.level,properties.source:operator,properties.payment:app,properties.fixme,properties.ref,properties.socket:tesla_destination,properties.socket:tesla_standard,properties.socket:tesla_standard:output,properties.authentication:membership_card,properties.maxstay,properties.socket:tesla_destination:output,properties.payment,properties.voltage,properties.payment:credit_cards,properties.manufacturer,properties.operator:website,properties.socket:type2_cable,properties.no:network,properties.payment:contactless,properties.socket:type1_combo,properties.bus,properties.hgv,properties.payment:none,properties.motorcycle,properties.amperage,properties.payment:free,properties.not:brand:wikidata,properties.phone:AU,properties.addr:floor,properties.addr:housename,properties.office,properties.phone,properties.start_date,properties.wikidata,properties.survey:date,properties.payment:via_tesla_app,properties.socket:type2:power,properties.socket:j1772,properties.socket:type2:current,properties.socket:type2:voltage,properties.payment:tap_to_pay,properties.socket:type2_cable:current,properties.socket:type2_cable:output,properties.socket:type2_cable:voltage,properties.parking,properties.payment:via_app,properties.socket:wall,properties.url,properties.network:wikidata,properties.socket,properties.indoor,properties.branch,properties.payment:cash,properties.payment:coins,properties.payment:mastercard,properties.payment:visa,properties.check_date,properties.construction,properties.payment:debit_cards,properties.ele,properties.payment:cards,properties.payment:membership_card,properties.payment:qr_code,properties.not:operator:wikidata,properties.socket:unknown,properties.payment:apple_pay,properties.man_made,properties.socket:ccs:output
Feature,way/762728901,way/762728901,charging_station,yes,"Tesla, Inc.",Q478214,Hollydene Supercharger,24/7,Tesla,6,https://www.tesla.com/en_AU/findus/location/supercharger/singletonnswsupercharger,Polygon,"[[[150.8323303, -32.4473776], [150.8322847, -32.4473524], [150.8321618, -32.4475109], [150.8322075, -32.4475361], [150.8323303, -32.4473776]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,way/1176146545,way/1176146545,charging_station,,Tesla Supercharger,Q17089620,,,Tesla,,,Polygon,"[[[139.5011723, -35.3040185], [139.5012011, -35.3040544], [139.5012277, -35.3040401], [139.5012529, -35.3040264], [139.5012757, -35.3040137], [139.501299, -35.304001], [139.5013229, -35.3039874], [139.5013471, -35.3039736], [139.5013176, -35.3039393], [139.5012935, -35.3039531], [139.5012707, -35.3039659], [139.5012467, -35.3039787], [139.5012244, -35.3039909], [139.501199, -35.3040043], [139.5011723, -35.3040185]]]",6,Tesla Supercharger,"Tesla, Inc.",Q478214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,way/1189771948,way/1189771948,charging_station,,,,,,,,,Polygon,"[[[138.5748466, -35.0081462], [138.5748542, -35.0081967], [138.5750899, -35.0081669], [138.5750818, -35.0081176], [138.5748466, -35.0081462]]]",,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,way/1253852373,way/1253852373,charging_station,,Tesla Destination,,,24/7,,,,Polygon,"[[[130.877993, -12.4074783], [130.8779695, -12.4075449], [130.8780173, -12.4075609], [130.8780407, -12.4074944], [130.877993, -12.4074783]]]",3,,Darwin Airport,,,yes,no,yes,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,way/1258973419,way/1258973419,charging_station,,EVlink,,,,,,,Polygon,"[[[144.9937152, -37.8037876], [144.9937602, -37.8035113], [144.9937013, -37.8035051], [144.9936529, -37.803781], [144.9937152, -37.8037876]]]",,,,,unknown,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,way/1278067243,way/1278067243,charging_station,,Tesla,,,24/7,,9,,Polygon,"[[[153.0137566, -27.2394365], [153.0137045, -27.2394189], [153.0135673, -27.2397415], [153.0136194, -27.239759], [153.0137566, -27.2394365]]]",9,Tesla Supercharger,HomeCo North Lakes,,yes,,,,,,,95,North Lakes Drive,North Lakes,25 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1638722815,node/1638722815,charging_station,,,,,24/7,,,,Point,"[115.8715309, -31.9362523]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/3203111051,node/3203111051,charging_station,,ChargePoint,Q5176149,,,,,,Point,"[115.8348552, -32.0346555]",,ChargePoint,ChargePoint,Q5176149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/3488644749,node/3488644749,charging_station,,ChargePoint,Q5176149,,,,,,Point,"[151.6438477, -32.9358797]",,,ChargePoint,Q5176149,,,,,,,,,,,,en:ChargePoint,en:ChargePoint,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/3946796253,node/3946796253,charging_station,,,,,,,,,Point,"[146.4125226, -41.218297]",2,,,,customers,no,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
