amenity,operator,geometry,capacity,addr:city,addr:housenumber,addr:street,location,brand,socket_type
charging_station,,"POLYGON ((150.8323303 -32.4473776, 150.8322847 -32.4473524, 150.8321618 -32.4475109, 150.8322075 -32.4475361, 150.8323303 -32.4473776))",5.288250652741515,,,,,"Tesla, Inc.",Tesla Supercharger
charging_station,"Tesla, Inc.","POLYGON ((139.5011723 -35.3040185, 139.5012011 -35.3040544, 139.5012277 -35.3040401, 139.5012529 -35.3040264, 139.5012757 -35.3040137, 139.501299 -35.304001, 139.5013229 -35.3039874, 139.5013471 -35.3039736, 139.5013176 -35.3039393, 139.5012935 -35.3039531, 139.5012707 -35.3039659, 139.5012467 -35.3039787, 139.5012244 -35.3039909, 139.501199 -35.3040043, 139.5011723 -35.3040185))",6.0,,,,,Tesla Supercharger,Unknown
charging_station,,"POLYGON ((138.5748466 -35.0081462, 138.5748542 -35.0081967, 138.5750899 -35.0081669, 138.5750818 -35.0081176, 138.5748466 -35.0081462))",5.288250652741515,,,,,,Unknown
charging_station,Darwin Airport,"POLYGON ((130.877993 -12.4074783, 130.8779695 -12.4075449, 130.8780173 -12.4075609, 130.8780407 -12.4074944, 130.877993 -12.4074783))",3.0,,,,,Tesla Destination,Type 2
charging_station,,"POLYGON ((144.9937152 -37.8037876, 144.9937602 -37.8035113, 144.9937013 -37.8035051, 144.9936529 -37.803781, 144.9937152 -37.8037876))",5.288250652741515,,,,,EVlink,Unknown
charging_station,HomeCo North Lakes,"POLYGON ((153.0137566 -27.2394365, 153.0137045 -27.2394189, 153.0135673 -27.2397415, 153.0136194 -27.239759, 153.0137566 -27.2394365))",9.0,,95,North Lakes Drive,,Tesla,Tesla Supercharger
charging_station,,POINT (115.8715309 -31.9362523),5.288250652741515,,,,,,Unknown
charging_station,ChargePoint,POINT (115.8348552 -32.0346555),5.288250652741515,,,,,ChargePoint,Unknown
charging_station,ChargePoint,POINT (151.6438477 -32.9358797),5.288250652741515,,,,,ChargePoint,Unknown
charging_station,,POINT (146.4125226 -41.218297),2.0,,,,,,Type 2
charging_station,"Tesla, Inc.",POINT (149.7209942 -34.7554799),8.0,,201,Sloane Street,,Tesla Supercharger,Tesla Supercharger
charging_station,"Tesla, Inc.",POINT (145.5734088 -36.7527958),6.0,Euroa,,,,Tesla Supercharger,Tesla Supercharger
charging_station,"Tesla, Inc.",POINT (146.8900517 -36.1237775),5.288250652741515,Wodonga,5-13,Havelock Street,,Tesla Supercharger,Tesla Supercharger
charging_station,"Tesla, Inc.",POINT (148.1098598 -35.0021004),6.0,,,,,Tesla Supercharger,Tesla Supercharger
charging_station,,POINT (145.0824905 -37.8872284),4.0,Chadstone,1341,Dandenong Road,,"Tesla, Inc.",Tesla Supercharger
charging_station,,POINT (145.2116252 -38.0270897),2.0,,,,,,Unknown
charging_station,,POINT (143.8664155 -37.5753648),5.288250652741515,,,,,,Unknown
charging_station,Museums Victoria,POINT (144.9719796 -37.8042881),2.0,,,,underground,,Unknown
charging_station,"Tesla, Inc.",POINT (144.9957089 -37.8321721),4.0,,5/650,Church Street,,Tesla Supercharger,Tesla Supercharger
charging_station,"Tesla, Inc.",POINT (143.8226401 -37.5346311),6.0,,,,,Tesla Supercharger,Tesla Supercharger
charging_station,,POINT (138.7249462 -34.923656),1.0,,,,,,Unknown
charging_station,,POINT (145.133609 -37.9054453),5.288250652741515,,,,,,Unknown
charging_station,,POINT (144.9701016 -37.7412518),5.288250652741515,,,,,,Unknown
charging_station,,POINT (145.5029836 -37.6507196),5.288250652741515,,,,,,Unknown
charging_station,Yurika,POINT (152.3351514 -27.5512615),2.0,,,,,Yurika,Type 2
charging_station,ChargePoint,POINT (145.0534948 -37.9584508),5.288250652741515,,,,,ChargePoint,Unknown
charging_station,"Tesla, Inc.",POINT (153.1315933 -30.2814283),6.0,,,,,Tesla Supercharger,Tesla Supercharger
charging_station,Tesla Motors,POINT (151.3749048 -33.5212508),5.288250652741515,,,,,,Unknown
charging_station,ChargePoint,POINT (150.8812521 -34.4075897),5.288250652741515,,,,,ChargePoint,Unknown
charging_station,"Tesla, Inc.",POINT (140.3557562 -36.0990659),5.288250652741515,,,,,Tesla Supercharger,Tesla Supercharger
charging_station,"Tesla, Inc.",POINT (138.6181952 -33.8485098),4.0,,,,,Tesla Supercharger,Unknown
charging_station,,POINT (138.3188648 -35.4470219),5.288250652741515,,,,,,Unknown
charging_station,,POINT (153.615842 -28.643176),5.288250652741515,,,,,,Unknown
charging_station,,POINT (133.2007563 -25.197523),5.288250652741515,,,,,,Unknown
charging_station,,POINT (133.6228479 -27.304117),5.288250652741515,,,,,,Unknown
charging_station,,POINT (141.2756294 -37.921672),5.288250652741515,,,,,,Unknown
charging_station,,POINT (144.9695097 -37.7025331),1.0,,,,,,Unknown
charging_station,"Tesla, Inc.",POINT (151.1946269 -33.8829291),8.0,,,,,Tesla Supercharger,Tesla Supercharger
charging_station,Sheffield Visitor Information Centre,POINT (146.3248524 -41.382797),2.0,,,,,,Type 2
charging_station,Hobart City Council,POINT (147.324301 -42.8812739),2.0,,,,,,Unknown
charging_station,,POINT (144.9697797 -37.7407364),5.288250652741515,,,,,,Unknown
charging_station,"Tesla, Inc.",POINT (150.1284524 -36.2231879),5.288250652741515,,,,,Tesla Supercharger,Tesla Supercharger
charging_station,,POINT (151.2063604 -33.8682863),5.288250652741515,,,,,,Unknown
charging_station,Merri-bek City Council,POINT (144.9619656 -37.7714237),5.288250652741515,,,,,,Unknown
charging_station,"Tesla, Inc.",POINT (149.1902551 -35.2942578),6.0,,,,,Tesla Supercharger,Tesla Supercharger
charging_station,Chargefox,POINT (145.5909893 -36.743036),4.0,Euroa,,,,,Type 2 Combo
charging_station,,POINT (137.7714998 -35.7874472),1.0,,,,,,Unknown
charging_station,NRMA,POINT (150.4424531 -34.4500909),1.0,,NSW,Bessemer Street,,,Type 2 Combo
charging_station,ChargePoint,POINT (150.4519627 -34.4501399),1.0,,,Main Street,,ChargePoint,Unknown
charging_station,Chargefox,POINT (146.7267687 -36.0739678),8.0,,,,,,Type 2 Combo
