id,properties.amenity,properties.brand,properties.description,properties.opening_hours,properties.short_name,properties.socket:type2,properties.socket:type1_combo,properties.socket:chademo,properties.socket:tesla,properties.addr:city,properties.addr:country,properties.addr:postcode,properties.addr:state,properties.location
way/762728901,charging_station,"Tesla, Inc.",Hollydene Supercharger,24/7,Tesla,,,,,,,,,
way/1176146545,charging_station,Tesla Supercharger,,,Tesla,,,,,,,,,
way/1189771948,charging_station,,,,,,,,,,,,,
way/1253852373,charging_station,Tesla Destination,,24/7,,2,,,,,,,,
way/1258973419,charging_station,EVlink,,,,,,,,,,,,
way/1278067243,charging_station,Tesla,,24/7,,,,,,,,,,
node/1638722815,charging_station,,,24/7,,,,,,,,,,
node/3203111051,charging_station,ChargePoint,,,,,,,,,,,,
node/3488644749,charging_station,ChargePoint,,,,,,,,,,,,
node/3946796253,charging_station,,,,,1,,,1,,,,,
node/4016257448,charging_station,Tesla Supercharger,Goulburn Supercharger,24/7,Tesla,,,,,,,,,
node/4027662399,charging_station,Tesla Supercharger,Tesla Supercharger,24/7,Tesla,,,,,Euroa,AU,3666,VIC,
node/4027663540,charging_station,Tesla Supercharger,Tesla Supercharger,24/7,Tesla,,,,,Wodonga,AU,3690,VIC,
node/4027667916,charging_station,Tesla Supercharger,Tesla Supercharger,,Tesla,,,,,,,,,
node/4332286415,charging_station,"Tesla, Inc.",Tesla Chadstone,,Tesla,,,,,Chadstone,,,,
node/4332296675,charging_station,,,,,,,,,,,,,
node/4332305132,charging_station,,,,,,,,,,,,,
node/4332324003,charging_station,,,,,,,,,,,,,underground
node/4356704673,charging_station,Tesla Supercharger,,,Tesla,,,,,,,,,
node/4559150341,charging_station,Tesla Supercharger,,,Tesla,,,,,,,,,
node/4681433874,charging_station,,,,,,,,,,,,,
node/4776101051,charging_station,,,,,,,,,,,,,
node/4776121605,charging_station,,Free Moreland Council Car Charging Point,,,,,,,,,,,
node/4776130324,charging_station,,,,,,,,,,,,,
node/4861233240,charging_station,Yurika,QESH - Gatton,,,2,,1,,,,,,
node/4896269173,charging_station,ChargePoint,ChargePoint,,,,,,,,,,,
node/5004854821,charging_station,Tesla Supercharger,Coffs Harbour Supercharger,24/7,Tesla,,,,,,,,,
