id,properties.amenity,properties.brand,properties.description,properties.opening_hours,properties.short_name,geometry.type,geometry.coordinates,properties.capacity,properties.addr:city,properties.addr:country,properties.addr:postcode,properties.addr:state,properties.location,socket_types
way/762728901,charging_station,"Tesla, Inc.",Hollydene Supercharger,24/7,Tesla,Polygon,"[[[150.8323303, -32.4473776], [150.8322847, -32.4473524], [150.8321618, -32.4475109], [150.8322075, -32.4475361], [150.8323303, -32.4473776]]]",,,,,,,
way/1176146545,charging_station,Tesla Supercharger,,,Tesla,Polygon,"[[[139.5011723, -35.3040185], [139.5012011, -35.3040544], [139.5012277, -35.3040401], [139.5012529, -35.3040264], [139.5012757, -35.3040137], [139.501299, -35.304001], [139.5013229, -35.3039874], [139.5013471, -35.3039736], [139.5013176, -35.3039393], [139.5012935, -35.3039531], [139.5012707, -35.3039659], [139.5012467, -35.3039787], [139.5012244, -35.3039909], [139.501199, -35.3040043], [139.5011723, -35.3040185]]]",6,,,,,,
way/1189771948,charging_station,,,,,Polygon,"[[[138.5748466, -35.0081462], [138.5748542, -35.0081967], [138.5750899, -35.0081669], [138.5750818, -35.0081176], [138.5748466, -35.0081462]]]",,,,,,,
way/1253852373,charging_station,Tesla Destination,,24/7,,Polygon,"[[[130.877993, -12.4074783], [130.8779695, -12.4075449], [130.8780173, -12.4075609], [130.8780407, -12.4074944], [130.877993, -12.4074783]]]",3,,,,,,2
way/1258973419,charging_station,EVlink,,,,Polygon,"[[[144.9937152, -37.8037876], [144.9937602, -37.8035113], [144.9937013, -37.8035051], [144.9936529, -37.803781], [144.9937152, -37.8037876]]]",,,,,,,
way/1278067243,charging_station,Tesla,,24/7,,Polygon,"[[[153.0137566, -27.2394365], [153.0137045, -27.2394189], [153.0135673, -27.2397415], [153.0136194, -27.239759], [153.0137566, -27.2394365]]]",9,,,,,,
node/1638722815,charging_station,,,24/7,,Point,"[115.8715309, -31.9362523]",,,,,,,
node/3203111051,charging_station,ChargePoint,,,,Point,"[115.8348552, -32.0346555]",,,,,,,
node/3488644749,charging_station,ChargePoint,,,,Point,"[151.6438477, -32.9358797]",,,,,,,
node/3946796253,charging_station,,,,,Point,"[146.4125226, -41.218297]",2,,,,,,"1, 1"
node/4016257448,charging_station,Tesla Supercharger,Goulburn Supercharger,24/7,Tesla,Point,"[149.7209942, -34.7554799]",8,,,,,,
node/4027662399,charging_station,Tesla Supercharger,Tesla Supercharger,24/7,Tesla,Point,"[145.5734088, -36.7527958]",6,Euroa,AU,3666,VIC,,
node/4027663540,charging_station,Tesla Supercharger,Tesla Supercharger,24/7,Tesla,Point,"[146.8900517, -36.1237775]",,Wodonga,AU,3690,VIC,,
node/4027667916,charging_station,Tesla Supercharger,Tesla Supercharger,,Tesla,Point,"[148.1098598, -35.0021004]",6,,,,,,
node/4332286415,charging_station,"Tesla, Inc.",Tesla Chadstone,,Tesla,Point,"[145.0824905, -37.8872284]",4,Chadstone,,,,,
node/4332296675,charging_station,,,,,Point,"[145.2116252, -38.0270897]",2,,,,,,
node/4332305132,charging_station,,,,,Point,"[143.8664155, -37.5753648]",,,,,,,
node/4332324003,charging_station,,,,,Point,"[144.9719796, -37.8042881]",2,,,,,underground,
node/4356704673,charging_station,Tesla Supercharger,,,Tesla,Point,"[144.9957089, -37.8321721]",4,,,,,,
node/4559150341,charging_station,Tesla Supercharger,,,Tesla,Point,"[143.8226401, -37.5346311]",6,,,,,,
node/4681433874,charging_station,,,,,Point,"[138.7249462, -34.923656]",1,,,,,,
node/4776101051,charging_station,,,,,Point,"[145.133609, -37.9054453]",,,,,,,
node/4776121605,charging_station,,Free Moreland Council Car Charging Point,,,Point,"[144.9701016, -37.7412518]",,,,,,,
node/4776130324,charging_station,,,,,Point,"[145.5029836, -37.6507196]",,,,,,,
node/4861233240,charging_station,Yurika,QESH - Gatton,,,Point,"[152.3351514, -27.5512615]",2,,,,,,"2, 1"
node/4896269173,charging_station,ChargePoint,ChargePoint,,,Point,"[145.0534948, -37.9584508]",,,,,,,
node/5004854821,charging_station,Tesla Supercharger,Coffs Harbour Supercharger,24/7,Tesla,Point,"[153.1315933, -30.2814283]",6,,,,,,
node/5047210796,charging_station,,,,,Point,"[151.3749048, -33.5212508]",,,,,,,
node/5047211383,charging_station,ChargePoint,,,,Point,"[150.8812521, -34.4075897]",,,,,,,
node/5132854542,charging_station,Tesla Supercharger,,,Tesla,Point,"[140.3557562, -36.0990659]",,,,,,,
node/5162910541,charging_station,Tesla Supercharger,Clare Valley Supercharger,,Tesla,Point,"[138.6181952, -33.8485098]",4,,,,,,
node/5249804024,charging_station,,,,,Point,"[138.3188648, -35.4470219]",,,,,,,
node/5270964444,charging_station,,,,,Point,"[153.615842, -28.643176]",,,,,,,
node/5334248429,charging_station,,,,,Point,"[133.2007563, -25.197523]",,,,,,,
node/5334248433,charging_station,,,,,Point,"[133.6228479, -27.304117]",,,,,,,
node/5334248922,charging_station,,,,,Point,"[141.2756294, -37.921672]",,,,,,,
node/5395408885,charging_station,,Free Moreland Council EV charging,,,Point,"[144.9695097, -37.7025331]",1,,,,,,
node/5438383393,charging_station,Tesla Supercharger,Tesla Supercharger,,Tesla,Point,"[151.1946269, -33.8829291]",8,,,,,,
node/5519599141,charging_station,,,24/7,,Point,"[146.3248524, -41.382797]",2,,,,,,2
node/5519606421,charging_station,,,Mo-Fr 07:45-18:30; Sa-Su off,,Point,"[147.324301, -42.8812739]",2,,,,,,
node/5553840397,charging_station,,Free Moreland Council Car Charging Point,Mo-Su 09:00-09:00,,Point,"[144.9697797, -37.7407364]",,,,,,,
node/5758577851,charging_station,Tesla Supercharger,Tesla Supercharger,,Tesla,Point,"[150.1284524, -36.2231879]",,,,,,,
node/5865178390,charging_station,,,,,Point,"[151.2063604, -33.8682863]",,,,,,,
node/5879749471,charging_station,,,,,Point,"[144.9619656, -37.7714237]",,,,,,,
node/5985113586,charging_station,Tesla Supercharger,Canberra Supercharger,24/7,Tesla,Point,"[149.1902551, -35.2942578]",6,,,,,,
node/6012351152,charging_station,,Chargefox,24/7,,Point,"[145.5909893, -36.743036]",4,Euroa,AU,3666,VIC,,4
node/6110132412,charging_station,,,,,Point,"[137.7714998, -35.7874472]",1,,,,,,
node/6165583448,charging_station,,NRMA Fast Charger,,,Point,"[150.4424531, -34.4500909]",1,,AU,2575,,,1
node/6165583449,charging_station,ChargePoint,Mittagong Tourist Information Centre,,,Point,"[150.4519627, -34.4501399]",1,,AU,2575,NSW,,
node/6217636780,charging_station,,Chargefox,,,Point,"[146.7267687, -36.0739678]",8,,,,,,4
node/6294718962,charging_station,,J-1772,,,Point,"[143.8905143, -37.4438844]",2,,,,,,
node/6305536144,charging_station,"Tesla, Inc.",Tesla Mascot King Street,,Tesla,Point,"[151.186122, -33.9285142]",,,,2020,NSW,,
node/6361470537,charging_station,,,,,Point,"[150.8118548, -33.9760165]",,,,,,,
node/6361470538,charging_station,,,,,Point,"[150.8118557, -33.9760436]",,,,,,,
node/6434871034,charging_station,"Tesla, Inc.",Goolwa Visitor Information Centre - Destination Charging,,Tesla,Point,"[138.7844823, -35.5030219]",1,,,,,,
node/6456676767,charging_station,Tesla Supercharger,Tesla Supercharger,,Tesla,Point,"[146.7592991, -36.5870197]",,,,,,,
node/6456722833,charging_station,Tesla Supercharger,Tesla Supercharger,,Tesla,Point,"[148.6091712, -32.2499278]",,,,,,,
node/6456723747,charging_station,Tesla Supercharger,,,Tesla,Point,"[150.9171653, -31.1016073]",,,,,,,
node/6456731585,charging_station,ChargePoint,Chargepoint,,,Point,"[145.080672, -37.9505279]",,,,,,,
node/6456735006,charging_station,ChargePoint,,,,Point,"[145.1577067, -37.9214395]",,,,,,,
node/6456735596,charging_station,ChargePoint,,,,Point,"[145.165502, -37.8748303]",,,,,,,
node/6460533136,charging_station,Tesla Supercharger,Tesla Supercharger,,Tesla,Point,"[153.0404982, -27.4517194]",4,,,,,,
node/6460563175,charging_station,Tesla Supercharger,Tesla Supercharger,,Tesla,Point,"[153.4271031, -28.0353737]",8,,,,,,
node/6460580922,charging_station,"Tesla, Inc.",Knockrow Supercharger,24/7,Tesla,Point,"[153.5347035, -28.7495635]",6,,,,,,
node/6460587589,charging_station,Tesla Supercharger,Port Macquarie Supercharger,24/7,Tesla,Point,"[152.8236754, -31.4361396]",6,,,,,,
node/6460737186,charging_station,,,,,Point,"[144.3612324, -38.1433232]",4,,,,,,
node/6460781765,charging_station,,NRMA Fast Charger,,,Point,"[148.6197273, -36.4160168]",2,,,,,,
node/6460796546,charging_station,,NRMA Fast Charger,,,Point,"[147.2036752, -33.9237229]",,,,,,,
node/6460798626,charging_station,,NRMA Fast Charger,,,Point,"[148.2950671, -34.3117299]",1,,,,,,1
