,Landmark Name,Latitude,Longitude,Number of EV charger station,Name and distance of each station
0,Port of Melbourne,-37.8137384362671,144.91753432375,0,N/a
1,Carlton Football Club,-37.7840864379557,144.961967841559,0,N/a
2,Carlton Gardens North,-37.8017690847403,144.971997551189,6,"Melbourne Museum: 321m, Lygon Street Car park: 434m, Lonsdale St: 943m, Carlton: 427m, Lonsdale St: 944m, Carlton: 160m, "
3,Kings Domain,-37.8255239795833,144.974107925144,9,"Secure Parking: 853m, Holiday Inn Express Melbourne Southbank: 769m, South Melbourne: 837m, Wilson Parking Eureka: 890m, Southbank: 761m, Southbank: 865m, Southbank: 957m, Federation Square Car Park: 900m, The Arts Centre: 646m, "
4,Flemington Racecourse,-37.7908082646624,144.912142987372,0,N/a
5,Treasury Gardens,-37.8143993575938,144.975952335785,18,"Park Hyatt Melbourne: 274m, Wilson Parking: 793m, Collins St: 518m, Lonsdale St: 731m, Russell St: 780m, Russell St: 793m, Flinders St: 484m, Secure Parking (Southern Cross): 604m, Pullman Melbourne on the Park: 663m, Parliament PI: 371m, ACDC Garage: 496m, Pullman Melbourne: 659m, Lonsdale St: 919m, Bourke St: 509m, Lonsdale St: 669m, Grand Hyatt Melbourne: 552m, Federation Square Car Park: 553m, QV Melbourne - Car Park: 920m, "
6,Melbourne Magistrates Court,-37.8136147671606,144.956846193891,35,"Lonsdale St: 82m, Bourke St: 134m, Secure Parking (450 Flinders Lane): 598m, Hyatt Centric Melbourne: 761m, Wilson Parking: 998m, Alto Hotel: 351m, Queen Victoria Market - Underground Carpark: 658m, Queen St: 654m, Holiday Inn Express Melbourne Little Collins: 490m, 300 Latrobe Street - Wilson Car Park: 521m, Lonsdale St: 625m, Lonsdale St: 134m, Flinders Ln: 578m, Rialto Car Park: 613m, Russell St: 975m, Russell St: 998m, Latrobe Street: 313m, West Melbourne: 644m, Wilson Parking: 134m, Secure Parking - 460 Lonsdale Street Car Park: 146m, Downie St: 741m, Southbank: 308m, Bourke St: 357m, Melbourne Central Carpark: 622m, Flagstaff City Inn: 641m, Lonsdale St: 917m, Secure Parking (300 Flinders St): 815m, Collins St: 487m, Queens & Collins: 483m, Flagstaff Car Park: 110m, Flinders Ln: 593m, Bourke St: 338m, Cellarbrations: 814m, Flinders St: 798m, QV Melbourne - Car Park: 917m, "
7,Flagstaff Railway Station,-37.8116384403974,144.9561186805,31,"Lonsdale St: 200m, Bourke St: 350m, Secure Parking (450 Flinders Lane): 827m, Hyatt Centric Melbourne: 975m, Alto Hotel: 529m, Queen Victoria Market - Underground Carpark: 466m, Queen St: 461m, Holiday Inn Express Melbourne Little Collins: 694m, 300 Latrobe Street - Wilson Car Park: 437m, Lonsdale St: 638m, Lonsdale St: 244m, Flinders Ln: 806m, Rialto Car Park: 840m, Latrobe Street: 236m, West Melbourne: 480m, Wilson Parking: 350m, Secure Parking - 460 Lonsdale Street Car Park: 250m, Downie St: 953m, Southbank: 535m, Bourke St: 541m, Melbourne Central Carpark: 650m, Flagstaff City Inn: 476m, Lonsdale St: 927m, Collins St: 690m, Queens & Collins: 672m, Flagstaff Car Park: 166m, Flinders Ln: 820m, Bourke St: 551m, Cellarbrations: 663m, Flinders St: 993m, QV Melbourne - Car Park: 927m, "
8,Melbourne Cricket Ground (MCG),-37.8194921618419,144.983402879078,2,"Pullman Melbourne on the Park: 389m, Pullman Melbourne: 409m, "
9,Queen Victoria Gardens,-37.8216381244891,144.971049530478,13,"Collins St: 746m, Holiday Inn Express Melbourne Southbank: 387m, Wilson Parking Eureka: 515m, Southbank: 327m, Flinders St: 603m, Southbank: 427m, Southbank: 540m, ACDC Garage: 607m, Secure Parking (300 Flinders St): 722m, Grand Hyatt Melbourne: 765m, Federation Square Car Park: 434m, The Arts Centre: 320m, Flinders St: 737m, "
10,Federation Square,-37.8178516571684,144.968963600783,32,"Secure Parking (450 Flinders Lane): 892m, Park Hyatt Melbourne: 910m, Wilson Parking: 736m, Collins St: 335m, Lonsdale St: 869m, Lonsdale St: 871m, Flinders Ln: 909m, Holiday Inn Express Melbourne Southbank: 493m, Russell St: 681m, Russell St: 736m, Wilson Parking Eureka: 544m, Southbank: 401m, Flinders St: 251m, Southbank: 398m, Secure Parking (Southern Cross): 602m, Southbank: 946m, Parliament PI: 999m, Southbank: 481m, ACDC Garage: 244m, Melbourne Central Carpark: 831m, Lonsdale St: 824m, Secure Parking (300 Flinders St): 436m, Bourke St: 661m, Queens & Collins: 690m, Lonsdale St: 864m, Grand Hyatt Melbourne: 340m, Federation Square Car Park: 204m, Flinders Ln: 996m, The Arts Centre: 552m, Bourke St: 860m, Flinders St: 435m, QV Melbourne - Car Park: 824m, "
11,New Quay,-37.8152178789077,144.941617889032,5,"District Docklands Shopping - West Carpark: 487m, Docklands: 459m, Docklands: 404m, Docklands: 355m, Cellarbrations: 880m, "
12,New Quay Marina,-37.8152925454954,144.942283726231,7,"District Docklands Shopping - West Carpark: 541m, Docklands: 512m, Docklands: 444m, West Melbourne: 959m, Docklands: 396m, Flagstaff City Inn: 961m, Cellarbrations: 845m, "
13,Newmarket Reserve,-37.7878473341234,144.922972125346,0,N/a
14,Wonderland Park,-37.8116945351989,144.936833674975,4,"District Docklands Shopping - West Carpark: 129m, Docklands: 131m, Docklands: 216m, Docklands: 244m, "
15,Rod Laver Arena,-37.8220456119807,144.978487173787,7,"Southbank: 981m, Flinders St: 927m, Pullman Melbourne on the Park: 791m, ACDC Garage: 940m, Pullman Melbourne: 809m, Federation Square Car Park: 793m, The Arts Centre: 953m, "
16,Melbourne Park,-37.8209085970021,144.978735802793,6,"Flinders St: 861m, Pullman Melbourne on the Park: 674m, ACDC Garage: 875m, Pullman Melbourne: 691m, Federation Square Car Park: 743m, The Arts Centre: 992m, "
17,Hisense Arena,-37.823110002667,144.981834802535,2,"Pullman Melbourne on the Park: 800m, Pullman Melbourne: 821m, "
18,Elisabeth Murdoch Hall,-37.8239733704282,144.967450979234,18,"Secure Parking: 916m, South Melbourne: 872m, Secure Parking (450 Flinders Lane): 951m, South Melbourne: 930m, Flinders Ln: 976m, Holiday Inn Express Melbourne Southbank: 241m, South Melbourne: 891m, Crown Metropol Melbourne: 874m, Wilson Parking Eureka: 319m, Southbank: 304m, Flinders St: 916m, Southbank: 370m, Southbank: 412m, ACDC Garage: 914m, Secure Parking (300 Flinders St): 702m, Federation Square Car Park: 770m, The Arts Centre: 141m, Flinders St: 726m, "
19,Melbourne Recital Centre,-37.8238327885805,144.967682729667,18,"Secure Parking: 929m, South Melbourne: 897m, Secure Parking (450 Flinders Lane): 958m, South Melbourne: 955m, Flinders Ln: 983m, Holiday Inn Express Melbourne Southbank: 233m, South Melbourne: 904m, Crown Metropol Melbourne: 897m, Wilson Parking Eureka: 321m, Southbank: 290m, Flinders St: 894m, Southbank: 362m, Southbank: 410m, ACDC Garage: 892m, Secure Parking (300 Flinders St): 697m, Federation Square Car Park: 747m, The Arts Centre: 124m, Flinders St: 721m, "
20,J.J Holland Park,-37.7982358832177,144.923837074813,2,"Park Rises Residences: 262m, Kensington: 272m, "
21,South Kensington Railway Station,-37.7997270537735,144.925837749713,2,"Park Rises Residences: 306m, Kensington: 321m, "
